SEM,PYEAR,HTNO,SCODE,SUBNAME,INTM,EXTM,RES,R1,R2,R3
22,2023JULY,216Q1A4201,R2022051,PROBABILITY AND STATISTICS,F,0,19,,,
22,2023JULY,216Q1A4201,R2022424,DATA MINING USING PYTHON LAB,A,1.5,13,,,
22,2023JULY,216Q1A4201,R2022423,R PROGRAMMING LAB,A,1.5,13,,,
22,2023JULY,216Q1A4201,R2022422,DATA WAREHOUSING AND MINING,D,3,19,,,
22,2023JULY,216Q1A4201,R2022421,COMPUTER ORGANIZATION,F,0,18,,,
22,2023JULY,216Q1A4201,R2022426,NATURAL LANGUAGE PROCESSING WITH PYTHON,A,2,0,,,
22,2023JULY,216Q1A4201,R2022053,FORMAL LANGUAGES AND AUTOMATA THEORY,F,0,21,,,
21,2023JULY,216Q1A4201,R2021011,MATHEMATICS-III,F,0,22,,,
21,2023JULY,216Q1A4201,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,C,3,22,,,
21,2023JULY,216Q1A4201,R2021421,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,D,3,21,,,
22,2023JULY,216Q1A4201,R2022425,WEB APPLICATION DEVELOPMENT LAB,A,1.5,13,,,
22,2023JULY,216Q1A4201,R2022055,MANAGERIAL ECONOMICS AND FINANCIAL ACCOU,F,0,26,,,
11,2022sep,216Q1A4201,R201115,APPLIED CHEMISTRY,F,0,22,,,
11,2022sep,216Q1A4201,R201101,MATHEMATICS - I,F,0,22,,,
21,2023jan,216Q1A4201,R2021121,DATABASE MANAGEMENT SYSTEMS,E,3,22,,,
12,2023jan,216Q1A4201,R201225,PYTHON PROGRAMMING,D,3,21,,,
12,2023jan,216Q1A4201,R201218,DATA STRUCTURES,E,3,21,,,
12,2023jan,216Q1A4201,R201207,APPLIED PHYSICS,D,3,21,,,
21,2023jan,216Q1A4201,R2021011,MATHEMATICS-III,F,0,22,,,
21,2023jan,216Q1A4201,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,F,0,22,,,
21,2023jan,216Q1A4201,R2021123,DATABASE MANAGEMENT SYSTEMS LAB,A,1.5,13,,,
21,2023jan,216Q1A4201,R2021421,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,F,0,21,,,
21,2023jan,216Q1A4201,R2021422,OBJECT ORIENTED PROGRAMMING WITH JAVA,E,3,18,,,
21,2023jan,216Q1A4201,R2021423,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,A,1.5,13,,,
21,2023jan,216Q1A4201,R2021425,MOBILE APP DEVELOPMENT,A,2,0,,,
21,2023jan,216Q1A4201,R2021426,ESSENCE OF INDIAN TRADITIONAL KNOWLEDGE,COMPLE,0,0,,,
21,2023jan,216Q1A4201,R202101A,COMMUNITY SERVICES PROJECT,A+,2,0,,,
21,2023jan,216Q1A4201,R2021424,OBJECT ORIENTED PROGRAMMING WITH JAVA LA,A,1.5,15,,,
11,2023feb,216Q1A4201,R201101,MATHEMATICS - I,E,3,22,,,
11,2023feb,216Q1A4201,R201115,APPLIED CHEMISTRY,E,3,22,,,
11,2022APR,216Q1A4201,R201116,APPLIED CHEMISTRY LAB,A,1.5,14,,,
11,2022APR,216Q1A4201,R201101,MATHEMATICS - I,F,0,22,,,
11,2022APR,216Q1A4201,R201102,COMMUNICATIVE ENGLISH,B,3,22,,,
11,2022APR,216Q1A4201,R201106,ENGLISH COMMUNICATION SKILLS LABORATORY,B,1.5,11,,,
11,2022APR,216Q1A4201,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3,19,,,
11,2022APR,216Q1A4201,R201113,PROGRAMMING FOR PROBLEM SOLVING USING C,B,1.5,11,,,
11,2022APR,216Q1A4201,R201114,ENVIRONMENTAL SCIENCE,COMPLE,0,0,,,
11,2022APR,216Q1A4201,R201115,APPLIED CHEMISTRY,F,0,22,,,
11,2022APR,216Q1A4201,R201118,COMPUTER ENGINEERING WORKSHOP,A,3,12,,,
12,2022aug,216Q1A4201,R201221,DIGITAL LOGIC DESIGN,E,3,21,,,
12,2022aug,216Q1A4201,R201218,DATA STRUCTURES,F,0,21,,,
12,2022aug,216Q1A4201,R201229,CONSTITUTION OF INDIA,COMPLE,0,0,,,
12,2022aug,216Q1A4201,R201233,APPLIED PHYSICS LABORATORY,A+,1.5,13,,,
12,2022aug,216Q1A4201,R201241,DATA STRUCTURES LABORATORY,A,1.5,12,,,
12,2022aug,216Q1A4201,R201207,APPLIED PHYSICS,F,0,21,,,
12,2022aug,216Q1A4201,R201250,PYTHON PROGRAMMING LABORATORY,A,1.5,12,,,
12,2022aug,216Q1A4201,R201201,MATHEMATICS-II,D,3,21,,,
12,2022aug,216Q1A4201,R201225,PYTHON PROGRAMMING,F,0,21,,,
11,2023july,216Q1A4202,R201101,MATHEMATICS - I,F,0,22,,,
22,2023JULY,216Q1A4202,R2022423,R PROGRAMMING LAB,A+,1.5,13,,,
21,2023JULY,216Q1A4202,R2021011,MATHEMATICS-III,F,0,22,,,
22,2023JULY,216Q1A4202,R2022426,NATURAL LANGUAGE PROCESSING WITH PYTHON,A+,2,0,,,
22,2023JULY,216Q1A4202,R2022055,MANAGERIAL ECONOMICS AND FINANCIAL ACCOU,D,3,24,,,
22,2023JULY,216Q1A4202,R2022422,DATA WAREHOUSING AND MINING,C,3,22,,,
22,2023JULY,216Q1A4202,R2022051,PROBABILITY AND STATISTICS,F,0,23,,,
22,2023JULY,216Q1A4202,R2022053,FORMAL LANGUAGES AND AUTOMATA THEORY,D,3,26,,,
22,2023JULY,216Q1A4202,R2022425,WEB APPLICATION DEVELOPMENT LAB,A,1.5,12,,,
22,2023JULY,216Q1A4202,R2022424,DATA MINING USING PYTHON LAB,A,1.5,13,,,
22,2023JULY,216Q1A4202,R2022421,COMPUTER ORGANIZATION,D,3,20,,,
11,2022sep,216Q1A4202,R201101,MATHEMATICS - I,F,0,22,,,
21,2023jan,216Q1A4202,R2021121,DATABASE MANAGEMENT SYSTEMS,C,3,24,,,
21,2023jan,216Q1A4202,R2021424,OBJECT ORIENTED PROGRAMMING WITH JAVA LA,A+,1.5,15,,,
21,2023jan,216Q1A4202,R2021421,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,B,3,25,,,
21,2023jan,216Q1A4202,R2021123,DATABASE MANAGEMENT SYSTEMS LAB,A+,1.5,15,,,
21,2023jan,216Q1A4202,R2021423,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,A+,1.5,12,,,
12,2023jan,216Q1A4202,R201201,MATHEMATICS-II,D,3,21,,,
21,2023jan,216Q1A4202,R2021422,OBJECT ORIENTED PROGRAMMING WITH JAVA,B,3,22,,,
21,2023jan,216Q1A4202,R2021425,MOBILE APP DEVELOPMENT,A+,2,0,,,
21,2023jan,216Q1A4202,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,E,3,21,,,
21,2023jan,216Q1A4202,R202101A,COMMUNITY SERVICES PROJECT,A+,2,0,,,
21,2023jan,216Q1A4202,R2021011,MATHEMATICS-III,F,0,22,,,
21,2023jan,216Q1A4202,R2021426,ESSENCE OF INDIAN TRADITIONAL KNOWLEDGE,COMPLE,0,0,,,
11,2023feb,216Q1A4202,R201101,MATHEMATICS - I,F,0,22,,,
11,2022APR,216Q1A4202,R201114,ENVIRONMENTAL SCIENCE,COMPLE,0,0,,,
11,2022APR,216Q1A4202,R201102,COMMUNICATIVE ENGLISH,A,3,22,,,
11,2022APR,216Q1A4202,R201106,ENGLISH COMMUNICATION SKILLS LABORATORY,A+,1.5,13,,,
11,2022APR,216Q1A4202,R201101,MATHEMATICS - I,F,0,22,,,
11,2022APR,216Q1A4202,R201113,PROGRAMMING FOR PROBLEM SOLVING USING C,A,1.5,12,,,
11,2022APR,216Q1A4202,R201115,APPLIED CHEMISTRY,C,3,20,,,
11,2022APR,216Q1A4202,R201116,APPLIED CHEMISTRY LAB,A+,1.5,12,,,
11,2022APR,216Q1A4202,R201118,COMPUTER ENGINEERING WORKSHOP,A+,3,13,,,
11,2022APR,216Q1A4202,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3,21,,,
