SEM,PYEAR,HTNO,SCODE,SUBNAME,INTM,EXTM,RES,R1,R2,R3
22,2023JULY,216Q1A4601,R2022055,MANAGERIAL ECONOMICS AND FINANCIAL ACCOU,C,3,26,,,
22,2023JULY,216Q1A4601,R2022464,ANDROID APPLICATION DEVELOPMENT,A+,2,0,,,
22,2023JULY,216Q1A4601,R2022463,DATABASE MANAGEMENT SYSTEMS LAB,A,1.5,13,,,
22,2023JULY,216Q1A4601,R2022462,R PROGRAMMING LAB,A,1.5,13,,,
22,2023JULY,216Q1A4601,R2022061,COMPUTER ORGANIZATION& ARCHITECTURE,D,3,21,,,
22,2023JULY,216Q1A4601,R2022053,FORMAL LANGUAGES AND AUTOMATA THEORY,D,3,21,,,
22,2023JULY,216Q1A4601,R2022052,DATABASE MANAGEMENT SYSTEMS,C,3,25,,,
22,2023JULY,216Q1A4601,R2022051,PROBABILITY AND STATISTICS,D,3,23,,,
22,2023JULY,216Q1A4601,R2022461,COMPUTER ORGANIZATION& ARCHITECTURE LAB,A,1.5,12,,,
12,2023aug,216Q1A4601,R201201,MATHEMATICS-II,D,3,17,,,
12,2023aug,216Q1A4601,R201221,DIGITAL LOGIC DESIGN,D,3,21,,,
12,2022aug,216Q1A4601,R201220,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,E,3,20,,,
12,2022aug,216Q1A4601,R201219,PROBLEM SOLVING USING PYTHON,E,3,21,,,
12,2022aug,216Q1A4601,R201221,DIGITAL LOGIC DESIGN,F,0,21,,,
12,2022aug,216Q1A4601,R201229,CONSTITUTION OF INDIA,COMPLE,0,0,,,
12,2022aug,216Q1A4601,R201239,APPLIED CHEMISTRY LABORATORY,A+,1.5,13,,,
12,2022aug,216Q1A4601,R201215,APPLIED CHEMISTRY,C,3,21,,,
12,2022aug,216Q1A4601,R201243,DIGITAL LOGIC DESIGN LABORATORY,A,1.5,13,,,
11,2022sep,216Q1A4601,R201101,MATHEMATICS - I,F,0,20,,,
11,2022sep,216Q1A4601,R201117,APPLIED PHYSICS,F,0,20,,,
12,2022aug,216Q1A4601,R201242,PROBLEM SOLVING USING PYTHON LABORATORY,A,1.5,12,,,
12,2022aug,216Q1A4601,R201201,MATHEMATICS-II,F,0,17,,,
21,2023jan,216Q1A4601,R2021062,JAVA PROGRAMMING,F,0,22,,,
12,2023jan,216Q1A4601,R201221,DIGITAL LOGIC DESIGN,F,0,21,,,
12,2023jan,216Q1A4601,R201201,MATHEMATICS-II,F,0,17,,,
21,2023jan,216Q1A4601,R2021065,JAVA PROGRAMMING LAB,A,1.5,13,,,
21,2023jan,216Q1A4601,R2021063,DATA STRUCTURES LAB,A,1.5,13,,,
21,2023jan,216Q1A4601,R2021066,FREE AND OPEN SOURCE SOFTWARE,A,2,0,,,
21,2023jan,216Q1A4601,R2021061,DATA STRUCTURES,E,3,22,,,
21,2023jan,216Q1A4601,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,D,3,24,,,
21,2023jan,216Q1A4601,R2021052,OPERATING SYSTEMS,C,3,28,,,
21,2023jan,216Q1A4601,R2021039,ESSENCE OF INDIAN TRADITIONAL KNOWLEDGE,COMPLE,0,0,,,
21,2023jan,216Q1A4601,R202101A,COMMUNITY SERVICES PROJECT,A+,2,0,,,
21,2023jan,216Q1A4601,R2021011,MATHEMATICS-III,D,3,22,,,
21,2023jan,216Q1A4601,R2021064,OS&UNIX PROGRAMMING LAB,A+,1.5,15,,,
11,2023feb,216Q1A4601,R201101,MATHEMATICS - I,F,0,20,,,
11,2023feb,216Q1A4601,R201117,APPLIED PHYSICS,F,0,20,,,
11,2022APR,216Q1A4601,R201110,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3,20,,,
11,2022APR,216Q1A4601,R201101,MATHEMATICS - I,F,0,20,,,
11,2022APR,216Q1A4601,R201119,APPLIED PHYSICS LAB,A,1.5,12,,,
11,2022APR,216Q1A4601,R201113,PROGRAMMING FOR PROBLEM SOLVING USING C,A,1.5,12,,,
11,2022APR,216Q1A4601,R201120,COMPUTER ENGINEERING WORKSHOP,A,3,11,,,
11,2022APR,216Q1A4601,R201106,ENGLISH COMMUNICATION SKILLS LABORATORY,A,1.5,11,,,
11,2022APR,216Q1A4601,R201102,COMMUNICATIVE ENGLISH,B,3,20,,,
11,2022APR,216Q1A4601,R201117,APPLIED PHYSICS,F,0,20,,,
11,2023july,216Q1A4602,R201117,APPLIED PHYSICS,F,0,20,,,
22,2023JULY,216Q1A4602,R2022461,COMPUTER ORGANIZATION& ARCHITECTURE LAB,B,1.5,10,,,
22,2023JULY,216Q1A4602,R2022463,DATABASE MANAGEMENT SYSTEMS LAB,A,1.5,10,,,
22,2023JULY,216Q1A4602,R2022464,ANDROID APPLICATION DEVELOPMENT,A+,2,0,,,
22,2023JULY,216Q1A4602,R2022462,R PROGRAMMING LAB,B,1.5,10,,,
22,2023JULY,216Q1A4602,R2022055,MANAGERIAL ECONOMICS AND FINANCIAL ACCOU,E,3,19,,,
22,2023JULY,216Q1A4602,R2022053,FORMAL LANGUAGES AND AUTOMATA THEORY,E,3,18,,,
22,2023JULY,216Q1A4602,R2022052,DATABASE MANAGEMENT SYSTEMS,D,3,19,,,
22,2023JULY,216Q1A4602,R2022051,PROBABILITY AND STATISTICS,D,3,20,,,
22,2023JULY,216Q1A4602,R2022061,COMPUTER ORGANIZATION& ARCHITECTURE,E,3,19,,,
12,2023aug,216Q1A4602,R201220,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,F,0,23,,,
12,2023aug,216Q1A4602,R201221,DIGITAL LOGIC DESIGN,E,3,22,,,
12,2022aug,216Q1A4602,R201239,APPLIED CHEMISTRY LABORATORY,A+,1.5,14,,,
12,2022aug,216Q1A4602,R201229,CONSTITUTION OF INDIA,COMPLE,0,0,,,
12,2022aug,216Q1A4602,R201220,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,F,0,23,,,
12,2022aug,216Q1A4602,R201242,PROBLEM SOLVING USING PYTHON LABORATORY,A+,1.5,14,,,
12,2022aug,216Q1A4602,R201201,MATHEMATICS-II,F,0,23,,,
11,2022sep,216Q1A4602,R201117,APPLIED PHYSICS,F,0,20,,,
12,2022aug,216Q1A4602,R201221,DIGITAL LOGIC DESIGN,F,0,22,,,
11,2022sep,216Q1A4602,R201101,MATHEMATICS - I,F,0,21,,,
12,2022aug,216Q1A4602,R201219,PROBLEM SOLVING USING PYTHON,D,3,24,,,
12,2022aug,216Q1A4602,R201243,DIGITAL LOGIC DESIGN LABORATORY,A+,1.5,15,,,
12,2022aug,216Q1A4602,R201215,APPLIED CHEMISTRY,E,3,22,,,
21,2023jan,216Q1A4602,R2021063,DATA STRUCTURES LAB,A,1.5,10,,,
21,2023jan,216Q1A4602,R2021065,JAVA PROGRAMMING LAB,A,1.5,10,,,
21,2023jan,216Q1A4602,R2021064,OS&UNIX PROGRAMMING LAB,A+,1.5,10,,,
21,2023jan,216Q1A4602,R2021066,FREE AND OPEN SOURCE SOFTWARE,A+,2,0,,,
12,2023jan,216Q1A4602,R201220,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,F,0,23,,,
21,2023jan,216Q1A4602,R2021062,JAVA PROGRAMMING,E,3,18,,,
21,2023jan,216Q1A4602,R2021061,DATA STRUCTURES,E,3,20,,,
21,2023jan,216Q1A4602,R2021054,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,B,3,28,,,
